115980,155677,47294,53621,53621,25687,37887,465314,7144,7259,25761,496476,8127,23446,23563,1928,10433,2680,9304,4065,2807,2597,4356,2807,64503,64754,65467,985,16990,32383,5051,8127,120136,28567,52170,1845,8696,36534,277303,21445,8010,72095,3739,79392,9789,175160,178009,3888,4983,7629,20709,6644,305912,344001,18692,4272,4272,602988,34632,8373,11877,3883,83526,7636,7730,2320,6373,11359,767336,802570,804795,63710,65895,68285,70708,20642,21615,4013,2067,7051,5108,119113,121601,926408,21159,2143,5351,957140,957181,768876,1262082,1261313,12996,257757
193341,259519,75771,85907,85907,39892,58838,777440,10410,10581,40010,828031,11811,31770,31930,3112,16842,4330,15015,6560,4533,4193,7032,4533,98010,98415,99565,1431,24697,47068,7338,11811,179023,41517,80679,2685,13445,56498,415703,33164,16029,144273,7482,158880,19593,350532,356233,5268,5218,7990,21688,9004,492275,531789,37403,8549,8549,988500,75464,15334,21750,7112,132150,11790,11933,5055,13886,24752,1219413,1248427,1250261,91854,95002,98450,104661,35742,37428,6614,3409,11625,8419,194069,200453,1450878,34878,2907,8819,1524019,1524535,1237184,2060228,2059052,26007,515825
166711,223769,34484,39099,39099,26170,38598,568719,7131,7247,26247,601671,11025,28639,28783,2697,14600,3752,13018,5687,3929,3635,6099,3929,86072,86424,87421,1337,23051,43936,6849,11025,161591,38756,72327,2504,12055,50649,377451,29731,10997,98967,5131,108986,13440,240455,244363,4748,3720,5699,15464,8116,345022,373510,25659,5865,5865,815402,46317,7647,10848,3547,82666,5803,5875,3102,8522,15193,963487,985845,987258,80302,83056,86069,88933,30432,31866,5193,2677,9132,6613,154524,157468,1144748,27398,2620,6930,1185357,1185427,997850,1596262,1595497,17838,353837
56115,75321,16334,18520,18520,9819,14483,126898,2917,2964,9846,138486,3805,15482,15560,1478,7991,2053,7124,3114,2151,1988,3338,2151,46915,47108,47654,461,7959,15167,2363,3805,73256,13377,30058,866,5008,21047,156419,12357,6022,54208,2811,59698,7363,131710,133851,2567,2344,3593,9749,4388,195402,213120,14054,3213,3213,351594,21066,4109,5828,1906,39906,3089,3127,1409,3877,6910,423282,434553,435265,33787,34945,36212,38607,14283,14958,2504,1287,4399,3186,73389,75850,510936,13197,1417,3337,499574,499004,506009,644616,644646,9770,193817
101854,136716,52701,59751,59751,19458,28701,290554,6226,6328,19517,314984,7337,24346,24469,2180,11799,3033,10521,4598,3178,2940,4928,3178,70774,71057,71864,888,15339,29235,4558,7337,121220,25789,63815,1667,10636,44688,291527,26233,10285,92556,4799,101926,12571,224880,228536,4037,3716,5691,15445,6901,326780,355112,23996,5483,5483,698641,29232,8606,12208,3993,70006,7511,7601,1956,5377,9588,832508,858639,860291,67421,69734,72263,75068,24361,25506,4400,2267,7735,5599,130471,133352,993637,23202,2227,5868,1023965,1023947,1056122,1371664,1371796,16683,330920
114174,153254,37898,42966,42966,22082,32569,403555,6687,6795,22147,431993,14694,28371,28514,2884,15618,4014,13924,6085,4204,3889,6523,4204,89796,90173,91239,1782,30724,58556,9129,14694,190095,51654,63507,3338,10585,44472,421866,26105,13608,122481,6351,134880,16633,297584,302422,4705,4191,6414,17414,8042,408798,439179,31754,7258,7258,808609,57279,7749,10993,3594,106263,7322,7410,3837,10539,18787,1010504,1047082,1049392,88046,91067,94369,99792,23525,24635,5791,2982,10175,7369,169882,175456,1224880,30528,2595,7720,1270993,1271096,1267580,1699510,1699498,22076,437907
147530,198027,53994,61217,61217,29455,43443,508242,8271,8405,29542,546013,7219,22483,22595,2232,12073,3103,10763,4703,3248,3009,5041,3248,69963,70254,71078,876,15099,28774,4485,7219,119654,25383,49150,1642,8190,34419,264052,20204,11908,107181,5556,118032,14554,260413,264647,3726,4499,6888,18697,6372,380885,415328,27788,6351,6351,708020,48322,9390,13319,4356,88638,7874,7969,3238,8892,15849,868852,892933,894455,64470,66680,69099,74419,23467,24572,4784,2464,8410,6089,139503,144971,1039432,25225,2056,6377,1073940,1073954,893138,1436011,1435272,19319,383210
155628,208896,65751,74546,74546,30630,45177,508553,8711,8854,30721,548128,12708,31209,31365,3035,16436,4226,14652,6403,4423,4093,6863,4423,95849,96244,97366,1541,26568,50635,7893,12708,182848,44668,70384,2889,11731,49289,409569,28933,13109,117984,6117,129927,16023,286658,291319,5175,4130,6325,17167,8846,402623,434193,30590,6990,6990,897285,59322,12718,18039,5899,109891,9858,9979,3972,10915,19459,1093828,1122023,1123804,88822,91868,95202,99708,31997,33504,5969,3075,10490,7596,176239,180871,1304756,31474,2853,7957,1360230,1360487,1280303,1827039,1826712,21266,421830
98974,132851,36250,41100,41100,19723,29093,333146,6020,6118,19784,358684,11463,24465,24588,2516,13620,3500,12143,5305,3664,3391,5687,3664,78026,78357,79285,1390,23967,45677,7120,11463,156395,40292,49310,2605,8218,34531,336800,20270,9324,83909,4352,92403,11396,203867,207183,4058,3905,5978,16231,6935,309385,338984,21753,4972,4972,678090,36640,6900,9786,3201,84039,5958,6030,2457,6742,12018,844079,880518,882820,72222,74700,77408,80820,22706,23777,4663,2403,8197,5934,137826,141331,1024151,24592,2237,6218,1057557,1057564,1045432,1403906,1403856,15124,300003
97752,131208,36368,41233,41233,18592,27423,294906,5487,5575,18647,319128,10709,19286,19384,1686,9127,2347,8137,3555,2454,2271,3811,2454,54860,55079,55696,1297,22391,42675,6652,10709,127738,37645,46317,2434,7721,32435,296707,19040,9282,83525,4330,91983,11343,202937,206236,3197,3917,5996,16276,5466,307294,337278,21655,4951,4951,639195,33619,7187,10195,3334,75312,5598,5665,2253,6186,11027,784717,814667,816558,67294,69604,72127,75637,21837,22866,4445,2289,7814,5656,131094,134702,951219,23438,1765,5929,975756,975628,978668,1297845,1297860,15056,298631
